Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
2,,0,0,458,success,2,85,241
31,,2950.66176,0,326,success,1,86,241
6,,6364.626183,0,382,success,6,87,241
23,,2932.668716,0,422,success,3,88,241
24,,5875.228672,0,416,success,4,89,241
4,,6215.198842,0,505,success,4,90,241
32,,5103.229092,0,425,success,2,91,241
3,,5635.210631,0,408,success,3,92,241
4,,3006.621355,0,433,success,4,93,241
4,,0,0,453,success,4,94,241
2,,961.0704946,0,464,success,2,95,241
24,,916.8317347,0,344,success,4,96,241
34,,6006.943861,0,444,success,4,97,241
6,,5688.268945,0,375,success,6,98,241
4,1913840,990.9475297,0,420,success,4,99,241
26,,6170.986132,0,413,success,6,1,242
2,,3986.069023,452,0,gamble,2,2,242
5,,6093.373025,888,0,gamble,5,3,242
5,,0,0,364,success,5,4,242
32,,3004.286259,802,0,gamble,2,5,242
25,,6153.018273,0,326,success,5,6,242
35,,831.5641726,0,0,earlyFail,5,7,242
1,,5799.33615,813,0,gamble,1,8,242
2,,2965.701067,408,0,gamble,2,9,242
36,,5939.138924,745,0,gamble,6,10,242
22,,940.7701854,0,345,success,2,11,242
1,,935.0816824,661,0,gamble,1,12,242
4,,1060.744351,793,0,gamble,4,13,242
34,,1097.983321,764,0,gamble,4,14,242
34,,6289.474423,444,0,gamble,4,15,242
22,,5998.38913,0,313,success,2,16,242
36,,5774.31321,598,0,gamble,6,17,242
4,,5763.603904,0,328,success,4,18,242
35,,3053.268362,728,0,gamble,5,19,242
6,,3158.933916,0,299,success,6,20,242
1,,0,0,324,success,1,21,242
86,,2142.491226,0,333,success,6,22,242
5,,6206.239568,767,0,gamble,5,23,242
35,,5706.35482,593,0,gamble,5,24,242
4,,3015.404069,0,345,success,4,25,242
34,,2985.817845,659,0,gamble,4,26,242
25,,4898.232235,0,385,success,5,27,242
24,,5656.186291,0,338,success,4,28,242
23,,2931.02706,0,267,success,3,29,242
31,,6203.097192,666,0,gamble,1,30,242
26,,5022.120742,0,354,success,6,31,242
3,,5970.864565,851,0,gamble,3,32,242
3,,0,0,301,success,3,33,242
23,,5755.921457,0,334,success,3,34,242
23,,1016.356411,0,296,success,3,35,242
23,,5924.573215,0,289,success,3,36,242
34,,5716.110436,634,0,gamble,4,37,242
21,,6307.089524,0,372,success,1,38,242
23,,6344.243574,0,254,success,3,39,242
33,,3018.707721,796,0,gamble,3,40,242
1,,6117.983485,0,344,success,1,41,242
5,,5836.009572,575,0,gamble,5,42,242
3,,6332.338857,638,0,gamble,3,43,242
36,,6229.295114,574,0,gamble,6,44,242
31,,4856.430435,619,0,gamble,1,45,242
3,,3069.185847,695,0,gamble,3,46,242
32,,4661.443837,616,0,gamble,2,47,242
6,,6180.415879,634,0,gamble,6,48,242
24,,6050.768841,0,355,success,4,49,242
5,,1059.987239,692,0,gamble,5,50,242
35,,6164.444167,655,0,gamble,5,51,242
24,,1031.177959,0,0,fail,4,52,242
33,,952.9013399,628,0,gamble,3,53,242
25,,4658.01432,0,339,success,5,54,242
75,,1924.632454,854,0,gamble,5,55,242
25,,1036.131494,0,357,success,5,56,242
36,,2919.96325,631,0,gamble,6,57,242
21,,5927.461725,0,358,success,1,58,242
24,,2903.919536,0,348,success,4,59,242
26,,2755.628882,0,391,success,6,60,242
4,,0,0,340,success,4,61,242
24,,6094.09941,0,399,success,4,62,242
21,,2989.639665,0,394,success,1,63,242
3,,1137.10521,988,0,gamble,3,64,242
25,,3056.76998,0,412,success,5,65,242
1,,5971.664837,0,360,success,1,66,242
2,,1118.033704,0,336,success,2,67,242
31,,3021.785122,0,423,success,1,68,242
2,,6217.242971,0,354,success,2,69,242
6,,5841.331,588,0,gamble,6,70,242
33,,5365.697078,663,0,gamble,3,71,242
26,,4713.777894,0,329,success,6,72,242
32,,4991.670352,0,370,success,2,73,242
22,,6325.703378,0,478,success,2,74,242
2,,6007.412109,413,0,gamble,2,75,242
31,,4821.816178,0,291,success,1,76,242
31,,1029.94655,0,389,success,1,77,242
6,,0,0,333,success,6,78,242
4,,6191.064297,0,359,success,4,79,242
2,,5791.148416,0,386,success,2,80,242
21,,6000.462918,0,379,success,1,81,242
33,,5057.011573,688,0,gamble,3,82,242
21,,921.2335774,0,304,success,1,83,242
34,,6059.10305,609,0,gamble,4,84,242
32,,5430.946579,590,0,gamble,2,85,242
32,,1113.046381,0,312,success,2,86,242
3,,5818.151553,0,424,success,3,87,242
36,,1052.798,642,0,gamble,6,88,242
35,,6282.272106,665,0,gamble,5,89,242
5,,3092.999017,713,0,gamble,5,90,242
22,,3089.391164,0,355,success,2,91,242
6,,1141.732389,633,0,gamble,6,92,242
22,,5777.344588,0,336,success,2,93,242
1,,3003.715874,0,351,success,1,94,242
4,,6058.440338,470,0,gamble,4,95,242
2,,0,0,292,success,2,96,242
6,,6151.552555,581,0,gamble,6,97,242
26,,954.3424818,771,0,gamble,6,98,242
33,1520673,4753.018252,601,0,gamble,3,99,242
4,,6263.926445,0,303,success,4,1,243
32,,5403.12089,0,233,success,2,2,243
3,,2880.703537,633,0,gamble,3,3,243
33,,5221.428932,917,0,gamble,3,4,243
31,,6368.026355,732,0,gamble,1,5,243
36,,5999.27323,821,0,gamble,6,6,243
25,,2962.986425,0,422,success,5,7,243
25,,5077.098344,0,440,success,5,8,243
36,,5802.719979,567,0,gamble,6,9,243
34,,1077.426924,728,0,gamble,4,10,243
25,,1025.52887,0,388,success,5,11,243
23,,1007.213098,0,249,success,3,12,243
31,,954.0628952,564,0,gamble,1,13,243
23,,6299.600346,0,471,success,3,14,243
32,,4681.303161,646,0,gamble,2,15,243
1,,5760.865133,800,0,gamble,1,16,243
3,,5938.106208,593,0,gamble,3,17,243
24,,1118.088614,0,376,success,4,18,243
24,,3086.494678,0,376,success,4,19,243
75,,1979.334322,665,0,gamble,5,20,243
24,,6173.587505,0,385,success,4,21,243
21,,5897.498267,0,388,success,1,22,243
25,,6294.689459,0,380,success,5,23,243
2,,1002.439001,597,0,gamble,2,24,243
4,,6021.562018,0,416,success,4,25,243
26,,1014.06134,0,509,success,6,26,243
3,,0,0,429,success,3,27,243
24,,5783.942971,0,416,success,4,28,243
24,,6137.185919,0,326,success,4,29,243
5,,6143.570897,0,451,success,5,30,243
33,,3033.746735,563,0,gamble,3,31,243
5,,5685.782735,0,411,success,5,32,243
26,,4821.612928,0,416,success,6,33,243
31,,4724.948852,674,0,gamble,1,34,243
36,,3019.89667,758,0,gamble,6,35,243
5,,0,0,497,success,5,36,243
6,,5746.874126,0,401,success,6,37,243
4,,0,0,365,success,4,38,243
22,,5652.566671,0,419,success,2,39,243
86,,1987.023716,0,382,success,6,40,243
3,,6250.680131,0,408,success,3,41,243
6,,0,0,379,success,6,42,243
34,,2983.965038,603,0,gamble,4,43,243
22,,1031.948157,0,293,success,2,44,243
4,,1022.679684,0,431,success,4,45,243
1,,977.9494691,794,0,gamble,1,46,243
21,,1116.512358,0,452,success,1,47,243
4,,5789.925729,0,310,success,4,48,243
2,,6243.287572,0,439,success,2,49,243
5,,2959.316448,0,532,success,5,50,243
35,,5816.087074,0,440,success,5,51,243
4,,2787.646537,0,470,success,4,52,243
26,,3251.096602,0,470,success,6,53,243
1,,3047.814849,660,0,gamble,1,54,243
31,,4899.260169,799,0,gamble,1,55,243
35,,6061.440409,456,0,gamble,5,56,243
22,,3035.394858,0,359,success,2,57,243
26,,5010.502855,0,419,success,6,58,243
1,,6352.248471,553,0,gamble,1,59,243
2,,6065.294987,0,483,success,2,60,243
34,,5746.820092,597,0,gamble,4,61,243
22,,5950.051655,0,247,success,2,62,243
33,,5023.088273,629,0,gamble,3,63,243
23,,5852.738628,0,514,success,3,64,243
6,,6014.971265,0,474,success,6,65,243
1,,0,0,456,success,1,66,243
32,,5030.751589,707,0,gamble,2,67,243
34,,6305.040146,696,0,gamble,4,68,243
