,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,lateResponse,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,understand,uniqueid,viewTime
107,,33.0,,,,,,6019.0683250152815,0.0,,638.0,,,0.0,,0.0,,failOutcome,3,,,,46.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
108,,6.0,,,,,,4211.023334700984,713.0,,0.0,,,0.0,,0.0,,gamble,6,,,,47.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
109,,6.0,,,,,,0.0,0.0,,0.0,,,0.0,,283.0,,success,6,,,,48.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
110,,34.0,,,,,,4148.284119211681,633.0,,0.0,,,0.0,,0.0,,gamble,4,,,,49.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
111,,26.0,,,,,,2027.9718908641703,0.0,,0.0,,,0.0,,0.0,,fail,6,,,,50.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
112,,21.0,,,,,,4112.042778128811,0.0,,610.0,,,0.0,,251.0,,success,1,,,,51.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
113,,34.0,,,,,,3996.3663853608614,536.0,,0.0,,,0.0,,0.0,,gamble,4,,,,52.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
114,,4.0,,,,,,5849.147864856521,0.0,,569.0,,,0.0,,108.0,,success,4,,,,53.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
115,,3.0,,,,,,6021.867577994303,0.0,,1012.0,,,0.0,,227.0,,success,3,,,,54.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
116,,86.0,,,,,,5826.811694239705,0.0,,672.0,,,0.0,,229.0,,success,6,,,,55.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
117,,5.0,,,,,,2075.4471637460997,616.0,,0.0,,,0.0,,0.0,,gamble,5,,,,56.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
118,,3.0,,,,,,0.0,0.0,,0.0,,,0.0,,306.0,,success,3,,,,57.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
119,,31.0,,,,,,5876.914280742947,0.0,,504.0,,,0.0,,254.0,,success,1,,,,58.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
120,,3.0,,,,,,6033.931592517135,0.0,,488.0,,,0.0,,242.0,,success,3,,,,59.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
121,,3.0,,,,,,3915.248074698579,0.0,,494.0,,,0.0,,260.0,,success,3,,,,60.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
122,,34.0,,,,,,2075.8618617346606,585.0,,0.0,,,0.0,,0.0,,gamble,4,,,,61.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
123,,24.0,,,,,,4021.6666898201056,0.0,,794.0,,,0.0,,206.0,,success,4,,,,62.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
124,,22.0,,,,,,6106.101971812028,0.0,,600.0,,,0.0,,283.0,,success,2,,,,63.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
125,,26.0,,,,,,4005.935213298553,0.0,,485.0,,,0.0,,280.0,,success,6,,,,64.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
126,,25.0,,,,,,1859.0783957893486,0.0,,636.0,,,0.0,,265.0,,success,5,,,,65.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
127,,33.0,,,,,,6025.6134448589155,0.0,,480.0,,,0.0,,289.0,,success,3,,,,66.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
128,,4.0,,,,,,6107.3509598991,0.0,,565.0,,,0.0,,372.0,,success,4,,,,67.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
129,,24.0,,,,,,1963.228008538142,0.0,,559.0,,,0.0,,347.0,,success,4,,,,68.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
130,,86.0,,,,,,3921.07025147393,0.0,,450.0,,,0.0,,398.0,,success,6,,,,69.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
131,,32.0,,,,,,6083.330603798036,0.0,,544.0,,,0.0,,267.0,,success,2,,,,70.0,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
