Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
6,,5017.5632337472,0,368,success,6,36,67
2,,4791.8102420243,0,349,success,2,37,67
23,,4835.7341625556,0,336,success,3,38,67
6,,0,0,426,success,6,39,67
2,,1131.5596298158,0,373,success,2,40,67
34,,1220.0764362803,0,0,earlyFail,4,41,67
24,,5062.636319756,0,338,success,4,42,67
2,,5211.3840022487,0,332,success,2,43,67
5,,3216.2963603852,1581,0,gamble,5,44,67
24,,3114.7742019944,0,346,success,4,45,67
2,,923.3971760443,0,408,success,2,46,67
33,,3171.8939176581,0,379,success,3,47,67
32,,1031.0583632663,0,372,success,2,48,67
36,,1030.3357880587,0,0,earlyFail,6,49,67
26,,4758.9035087679,0,328,success,6,50,67
6,,3110.3352972298,0,335,success,6,51,67
21,,4720.3327262296,0,370,success,1,52,67
2,,2917.1440260374,0,356,success,2,53,67
4,,931.9453950878,0,318,success,4,54,67
3,,3001.8608981787,0,350,success,3,55,67
33,,1009.6698711832,0,310,success,3,56,67
6,,0,0,302,success,6,57,67
3,,4894.2788058794,0,341,success,3,58,67
1,,5028.1965042848,0,259,success,1,59,67
1,,0,0,315,success,1,60,67
35,,4806.036594685,0,300,success,5,61,67
5,,2908.0760128874,0,367,success,5,62,67
1,,951.8302322896,0,334,success,1,63,67
3,,3183.8975714482,0,261,success,3,64,67
24,,4896.3023093203,0,268,success,4,65,67
5,,4851.7558950122,0,322,success,5,66,67
23,,5265.1534835013,0,271,success,3,67,67
34,,3065.0507277172,0,319,success,4,68,67
21,,5032.6917186382,0,331,success,1,69,67
4,,5080.1111316743,0,297,success,4,70,67
32,,2944.8975219602,0,234,success,2,71,67
4,,3002.1778496248,0,193,success,4,72,67
32,,5397.0980709166,0,288,success,2,73,67
31,,5105.3261173885,0,152,success,1,74,67
6,,4718.2522648283,0,321,success,6,75,67
21,,5160.2382352536,0,224,success,1,76,67
23,,3042.0115630742,0,274,success,3,77,67
36,,5321.0264120371,0,116,success,6,78,67
23,,4929.8689185375,0,381,success,3,79,67
1,,1115.6829935177,0,341,success,1,80,67
24,,5143.0276803177,0,315,success,4,81,67
5,,5002.1072286599,0,297,success,5,82,67
26,,2925.4586343702,0,338,success,6,83,67
4,,2993.3292903427,0,343,success,4,84,67
1,,2872.2190044096,0,334,success,1,85,67
25,,5032.1043993623,0,311,success,5,86,67
2,,0,0,294,success,2,87,67
5,,0,0,359,success,5,88,67
32,,4684.9142501564,0,226,success,2,89,67
31,,4615.756017459,0,329,success,1,90,67
5,,1038.3675325875,0,345,success,5,91,67
33,,4703.7058985532,0,259,success,3,92,67
22,,4721.8378417686,0,298,success,2,93,67
35,,2955.0851237992,0,388,success,5,94,67
6,,892.8302213238,0,237,success,6,95,67
31,,4957.8560415584,0,275,success,1,96,67
32,,4975.0809515015,0,230,success,2,97,67
4,,0,0,326,success,4,98,67
3,,4767.8471977102,0,282,success,3,99,67
4,,0,0,218,success,4,100,67
3,,940.5623017887,0,287,success,3,101,67
22,,2901.127833561,0,327,success,2,102,67
22,,5028.1454190338,0,285,success,2,103,67
3,,0,0,330,success,3,104,67
34,,5259.9811657301,0,223,success,4,105,67
1,,3020.5710323984,0,248,success,1,106,67
86,,2065.4749852649,0,364,success,6,107,67
1,,0,0,344,success,1,108,67
21,,1042.0139535915,0,284,success,1,109,67
22,,5235.9248830174,0,250,success,2,110,67
2,,4955.8409886937,0,256,success,2,111,67
36,,4790.2655375396,0,312,success,6,112,67
34,,4891.6926256832,0,315,success,4,113,67
25,,1017.6901469967,0,247,success,5,114,67
26,,5244.5274357013,0,385,success,6,115,67
3,,895.438549832,0,404,success,3,116,67
25,,4750.7558102402,0,372,success,5,117,67
36,,5106.8070891219,0,374,success,6,118,67
22,,939.0104271642,0,274,success,2,119,67
33,,5174.9644575698,0,163,success,3,120,67
5,,0,0,353,success,5,121,67
33,,4979.4344250323,0,463,success,3,122,67
5,1458248,943.8823993138,0,386,success,5,123,67
4,,2990.2482896764,0,358,success,4,1,68
34,,5097.1139011393,885,0,gamble,4,2,68
33,,5239.682808575,0,341,success,3,3,68
1,,936.0465390726,880,0,gamble,1,4,68
22,,5036.7700837321,0,366,success,2,5,68
5,,4975.772529696,0,350,success,5,6,68
31,,5157.5396795893,840,0,gamble,1,7,68
5,,2987.0136814457,0,412,success,5,8,68
26,,896.5704394177,0,326,success,6,9,68
33,,4647.0857518568,1091,0,gamble,3,10,68
23,,5231.7701849519,0,383,success,3,11,68
25,,5075.7649145451,0,516,success,5,12,68
3,,5353.7366764488,0,418,success,3,13,68
22,,4889.7350518858,0,343,success,2,14,68
21,,4797.4499073458,0,319,success,1,15,68
2,,864.8344917829,906,0,gamble,2,16,68
2,,4726.6765315143,0,393,success,2,17,68
22,,894.0528433388,0,376,success,2,18,68
2,,5125.70871859,0,0,fail,2,19,68
1,,4680.6851653062,0,326,success,1,20,68
22,,3040.0395513589,0,371,success,2,21,68
6,,1065.8927413099,0,438,success,6,22,68
35,,5108.2252213249,869,0,gamble,5,23,68
86,,1961.7641817245,0,377,success,6,24,68
35,,4719.0152808637,774,0,gamble,5,25,68
