,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,uniqueid,viewTime
98,,21,,,,,,2.083781352,0,,3394,,,,299,,success,1,,,,3,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
99,,24,,,,,,1.973416196,0,,2699,,,,372,,success,4,,,,4,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
100,,33,,,,,,6.281829283,0,,2472,,,,404,,success,3,,,,5,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
101,,33,,,,,,2.010577793,0,,2258,,,,307,,success,3,,,,6,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
102,,5,,,,,,6.75,0,,3496,,,,280,,success,5,,,,7,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
103,,2,,,,,,6.167449963,0,,1666,,,,356,,success,2,,,,8,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
104,,25,,,,,,2.044295555,0,,2377,,,,441,,success,5,,,,9,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
105,,34,,,,,,4.044182904,0,,2238,,,,290,,success,4,,,,10,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
106,,75,,,,,,6.75,5290,,0,,,,0,,gamble,5,,,,11,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
107,,3,,,,,,0,0,,0,,,,386,,success,3,,,,12,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
108,,24,,,,,,4.128006136,0,,1740,,,,326,,success,4,,,,13,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
109,,24,,,,,,6.354698263,0,,1494,,,,307,,success,4,,,,14,ATCU3JC12ZH0N:3EICBYG644WIZ6BVV8O67NA6OPKJCV,
