,BonusAmount,Trialid,action,comments,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,length,outcomeRT,pbGamble,phase,recordedPresses,recordedTimes,response,standardGamble,status,switchTimes,template,templates,trialNumber,understand,uniqueid,viewTime
6881,,8,,,,,,,990.6981953,0,,,,,,302,12,,",jkey,fkey,jkey,fkey,jkey,fkey,jkey,fkey",",854,1590,2263,3031,3702,4439,5207,5927",success,8,,",759,62,78,108,62,110,125,109",,,140,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6882,,38,,,,,,,3958.177823,793,,,,,,302,60,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,space,jkey",",565,1221,1957,2758,3542,4309,5029,5333,5877",gamble,8,,",437,45,126,157,158,141,93,270",,,141,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6883,,2,,,,,,,2098.984719,798,,,,,,0,36,,",fkey,jkey,fkey,jkey,fkey,space,jkey,fkey,fkey,fkey,fkey,jkey,fkey",",566,1095,1798,2486,3286,4022,4439,5127,5830,6679,7239,7494,8279",gambleFail,2,,",982,63,61,206,526,13,1758,172",,,142,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6884,,9,,,,,,,2571.596565,0,,,,,,574,36,,",jkey,fkey,jkey,fkey,jkey,fkey,jkey,fkey",",823,1591,2375,3127,3863,4647,5431,6215",success,9,,",727,94,185,109,126,142,174,158",,,143,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6885,,28,,,,,,,3404.494004,0,,,,,,0,48,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",1015,1767,2535,3431,4215,5191,6007,6791",failOutcome,8,,",887,124,158,271,141,380,142,174",,,144,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6886,,2,,,,,,,3958.577474,0,,,,,,478,60,,",jkey,fkey,jkey,fkey,jkey,jkey,fkey",",824,1543,2232,3096,3896,5591,6472",success,2,,",727,62,110,191,205,220,238,204",,,145,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6887,,8,,,,,,,1278.608913,0,,,,,,510,12,,",jkey,fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",742,1142,1814,2630,3430,4294,5078,5910,6662",success,8,,",982,110,158,206,191,206,173,158",,,146,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6888,,38,,,,,,1786745,3400.913618,759,,,,,,285,48,,",fkey,jkey,fkey,jkey,fkey,jkey,space,fkey,space,space,jkey",",918,1654,2454,3238,4006,4838,5110,5702,6566,7415,7735",gamble,8,,",806,110,174,174,126,206,190,1454",,,147,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6889,,,,,,,,,,,,,,,,,,postquestionnaire,,,,,begin,,,,,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
6890,1,,,,,,,,,,,,,,,,,postquestionnaire,,,,,submit,,,,,,A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT,
