,BonusAmount,Trialid,action,comments,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,length,outcomeRT,pbGamble,phase,recordedPresses,recordedTimes,response,standardGamble,status,switchTimes,template,templates,trialNumber,understand,uniqueid,viewTime
2607,,29,,,,,,,3377.49976,0,,,,,,177,48,,",fkey,jkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",846,1493,1804,2490,3294,4043,5015,5791,6427",success,9,,",782,317,34,188,75,382,109,49",,,103,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2608,,24,,,,,,,2195.715949,0,,,,,,189,36,,",jkey,fkey,jkey,fkey,jkey,fkey,jkey,jkey,fkey,fkey",",743,1440,2154,3020,3772,4418,5052,5311,5919,6268",success,4,,",666,60,73,241,137,34,293,293",,,104,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2609,,9,,,,,,,2627.463794,0,,,,,,368,36,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",627,1261,2012,2750,3577,4329,5028,5689",success,9,,",523,34,110,114,176,136,71,34",,,105,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2610,,86,,,,,,,3698.112003,0,,,,,,227,48,,",fkey,jkey,fkey,jkey,fkey,fkey,jkey,fkey,jkey",",588,1197,2073,2894,3514,3863,4576,5222,5947",success,6,,",473,19,202,215,331,60,48,98",,,106,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2611,,4,,,,,,,700.6948265,0,,,,,,473,12,,",fkey,jkey,jkey,fkey,jkey,fkey,jkey,fkey,fkey,jkey,jkey",",601,1157,1611,2440,3101,3811,4435,5068,5469,6065,6401",success,4,,",498,410,148,49,46,22,407,371",,,107,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2612,,2,,,,,,,2515.350461,0,,,,,,280,36,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,fkey,jkey",",858,1504,2192,2865,3640,4263,4897,5194,5829",success,2,,",742,34,20,99,86,61,279,48",,,108,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2613,,8,,,,,,,4231.207864,0,,,,,,174,60,,",jkey,fkey,jkey,fkey,jkey,fkey,jkey,fkey",",779,1454,2102,2891,3602,4485,5119,5922",success,8,,",690,45,8,149,74,239,21,190",,,109,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2614,,35,,,,,,,3719.431474,1096,,,,,,370,59,,",fkey,jkey,fkey,fkey,jkey,fkey,space,fkey,jkey",",446,1095,1716,2041,2713,3465,5301,5692,6402",gamble,5,,",370,6,294,46,112,46,953,72",,,110,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2615,,21,,,,,,,3979.686895,0,,,,,,373,60,,",jkey,fkey,jkey,fkey,jkey,fkey,jkey,fkey,fkey",",549,1222,1934,2627,3423,4147,4796,5430,5819",success,1,,",458,60,73,73,138,86,46,395",,,111,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2616,,5,,,,,,,4128.269651,0,,,,,,474,72,,",jkey,fkey,jkey,fkey,jkey,fkey,fkey",",577,1197,1923,2543,3229,3902,5404",success,5,,",485,9,70,10,33,71,98,137",,,112,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2617,,31,,,,,,,1581.501178,930,,,,,,331,24,,",space,jkey,fkey,jkey,space,fkey,jkey,fkey,jkey,fkey",",562,806,1557,2230,3343,3589,4236,4948,5647,6358",gamble,1,,",703,123,20,770,8,110,47,85",,,113,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2618,,31,,,,,,,3175.763911,681,,,,,,358,48,,",fkey,jkey,fkey,jkey,fkey,jkey,space,fkey,jkey,jkey",",628,1301,2026,2673,3436,4239,4512,5108,5690,6091",gamble,1,,",537,34,98,46,112,175,279,359",,,114,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2619,,29,,,,,,,1779.287404,0,,,,,,335,24,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",625,1262,1973,2672,3319,4005,4665,5352",success,9,,",511,7,73,85,33,59,8,84",,,115,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2620,,5,,,,,,,2260.50151,0,,,,,,345,36,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",600,1299,2011,2710,3552,4264,4872,5597",success,5,,",509,58,73,72,240,49,34,73",,,116,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2621,,34,,,,,,,1032.020209,822,,,,,,433,12,,",fkey,jkey,fkey,space,jkey,fkey,jkey,fkey,jkey",",653,1353,2025,2517,2853,3552,4238,4911,5571",gamble,4,,",560,74,34,190,73,73,60,21",,,117,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2622,,32,,,,,,,822.202754,1032,,,,,,244,12,,",fkey,jkey,fkey,space,jkey,fkey,jkey,fkey,jkey",",769,1429,2285,2620,2984,3605,4279,4912,5586",gamble,2,,",651,62,203,60,33,22,21,46",,,118,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2623,,4,,,,,,,557.0515555,0,,,,,,188,0,,",fkey,jkey,jkey,fkey,fkey,jkey,fkey,jkey,fkey,jkey",",484,1054,1431,2064,2375,3035,3720,4382,5068,5728",success,4,,",381,359,293,9,85,47,20,59",,,119,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2624,,24,,,,,,,528.013802,0,,,,,,267,0,,",jkey,fkey,fkey,jkey,jkey,fkey,jkey,fkey,jkey,jkey,fkey",",653,1262,1545,2181,2503,3151,3862,4484,5171,5415,6036",success,4,,",549,279,329,47,45,21,305,7",,,120,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2625,,9,,,,,,,1768.080361,0,,,,,,98,24,,",jkey,fkey,jkey,fkey,fkey,jkey,fkey,fkey,jkey,fkey",",497,1184,1935,2582,3462,3734,4369,4745,5442,6104",success,9,,",430,60,74,47,524,359,73,72",,,121,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2626,,24,,,,,,,570.2925438,0,,,,,,137,0,,",jkey,fkey,jkey,fkey,jkey,jkey,fkey,jkey,fkey",",536,1248,1973,2659,3280,3551,4212,4950,5623",success,4,,",458,97,35,85,292,60,59,47",,,122,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2627,,5,,,,,,,2226.327014,0,,,,,,214,36,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",588,1325,1973,2685,3397,4032,4731,5341",success,5,,",471,111,19,86,73,33,50,20",,,123,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2628,,32,,,,,,,4187.521299,797,,,,,,514,60,,",fkey,jkey,jkey,fkey,jkey,fkey,jkey,fkey,space,jkey",",510,1093,1456,2155,2854,3593,4291,5106,5520,5921",gamble,2,,",406,345,34,85,99,73,177,175",,,124,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2629,,4,,,,,,,2991.835007,0,,,,,,125,48,,",jkey,fkey,jkey,fkey,fkey,fkey,jkey,fkey,jkey,fkey",",562,1195,1897,2077,2426,2633,3423,4225,4884,5584",success,4,,",472,6,59,124,137,175,34,59",,,125,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2630,,39,,,,,,,2919.714851,822,,,,,,593,36,,",fkey,jkey,fkey,jkey,jkey,fkey,fkey,space,jkey,fkey,jkey",",652,1402,2063,2697,3008,3642,4134,4431,4885,5636,6386",gamble,9,,",574,98,49,343,476,111,149,111",,,126,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2631,,24,,,,,,,2927.017575,0,,,,,,340,48,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",615,1236,1922,2660,3346,4408,5120,5794",success,4,,",537,8,87,71,71,433,75,47",,,127,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2632,,31,,,,,,,1815.611563,1279,,,,,,358,24,,",jkey,fkey,fkey,jkey,fkey,space,jkey,fkey,jkey,fkey,fkey",",745,1352,1752,2453,3281,3851,4498,5145,5844,6401,6697",gamble,1,,",666,371,86,163,630,32,47,240",,,128,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2633,,35,,,,,,,1526.584939,804,,,,,,97,24,,",jkey,fkey,jkey,fkey,space,jkey,fkey,jkey,fkey",",575,1223,1934,2750,2944,3526,4212,4898,5533",gamble,5,,",497,34,73,151,165,70,34,21",,,129,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2634,,25,,,,,,,3670.687082,0,,,,,,151,48,,",fkey,jkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",668,1264,1653,2357,3076,3775,4488,5250,5859",success,5,,",580,370,73,98,60,125,86,21",,,130,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2635,,22,,,,,,,3779.899021,0,,,,,,112,60,,",jkey,fkey,jkey,fkey,jkey,fkey,fkey,jkey,fkey,fkey",",563,1262,1960,2634,3271,3854,4139,5137,5745,6004",success,2,,",498,59,22,69,10,243,396,242",,,131,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2636,,32,,,,,,,3172.658167,802,,,,,,190,48,,",fkey,jkey,fkey,fkey,jkey,space,jkey,fkey,jkey",",599,1442,2037,2334,3021,4587,4833,5441,6141",gamble,2,,",497,240,254,86,74,434,20,84",,,132,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2637,,2,,,,,,,3229.866954,0,,,,,,189,48,,",fkey,jkey,fkey,fkey,jkey,jkey,fkey,jkey,fkey,jkey",",639,1286,1933,2179,2530,2853,3592,4380,5131,5739",success,2,,",549,21,20,319,85,151,86,34",,,133,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2638,,22,,,,,,,3211.451319,0,,,,,,177,48,,",jkey,fkey,jkey,fkey,jkey,fkey,jkey,fkey",",616,1314,2052,2712,3411,4214,4912,5666",success,2,,",536,9,164,47,60,149,60,138",,,134,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2639,,39,,,,,,,3435.661407,565,,,,,,176,48,,",fkey,jkey,fkey,jkey,jkey,fkey,space,jkey,fkey,jkey",",717,1365,2219,2853,3177,3889,4730,4950,5572,6283",gamble,9,,",614,47,202,357,9,473,33,87",,,135,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2640,,25,,,,,,,1916.712272,0,,,,,,125,24,,",fkey,jkey,jkey,fkey,jkey,fkey,jkey,fkey,fkey,jkey",",511,1158,1456,2181,2996,3656,4290,4942,5198,5895",success,5,,",421,317,86,190,20,21,317,62",,,136,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2641,,1,,,,,,,3875.031119,0,,,,,,150,60,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",679,1339,2025,2698,3370,4006,4718,5391",success,1,,",576,47,59,46,34,21,86,61",,,137,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2642,,28,,,,,,,3014.159268,0,,,,,,58,36,,",fkey,jkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",808,1429,1805,2491,3266,3966,4562,5286,5908",success,8,,",731,370,21,164,34,8,73,34",,,138,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2643,,86,,,,,,,2605.578389,0,,,,,,121,36,,",fkey,jkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",536,1144,1480,2166,2865,3772,4406,5116,5737",success,6,,",456,334,59,60,266,23,70,8",,,139,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2644,,25,,,,,,,3712.131659,0,,,,,,279,48,,",jkey,fkey,fkey,jkey,fkey,jkey,jkey,fkey,jkey,fkey",",652,1262,1675,2375,3242,3786,4174,5030,5753,6595",success,5,,",563,395,59,256,329,163,98,240",,,140,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2645,,35,,,,,,,1815.801968,553,,,,,,86,24,,",jkey,fkey,fkey,jkey,space,fkey,jkey,jkey,fkey,jkey,fkey",",704,1312,1650,2362,3099,3436,4006,4318,5005,5703,6388",gamble,5,,",627,304,47,474,279,45,74,60",,,141,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2646,,4,,,,,,,3632.280298,0,,,,,,160,60,,",jkey,fkey,jkey,fkey,jkey,fkey,fkey,jkey,fkey,fkey",",887,1572,2258,2945,3604,4316,5688,6026,6685,6944",success,4,,",823,32,84,34,58,34,1109,267",,,142,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2647,,35,,,,,,,2404.877737,533,,,,,,149,36,,",fkey,jkey,fkey,jkey,space,fkey,jkey,fkey,jkey",",537,1249,1949,2634,3514,3747,4369,5042,5715",gamble,5,,",447,46,98,48,487,8,46,59",,,143,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2648,,9,,,,,,,3166.5737,0,,,,,,97,48,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",846,1519,2283,3034,3747,4510,5144,5779",success,9,,",755,33,149,126,87,97,45,10",,,144,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2649,,1,,,,,,,3034.267651,0,,,,,,215,48,,",jkey,fkey,jkey,fkey,jkey,fkey,jkey,jkey,fkey",",550,1185,1962,2596,3348,4032,4629,5016,5666",success,1,,",434,58,114,21,111,60,384,8",,,145,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2650,,31,,,,,,,1906.046041,1447,,,,,,629,24,,",fkey,jkey,fkey,jkey,fkey,space,jkey,jkey,fkey,jkey",",693,1324,2063,2814,3681,4043,4470,4679,5132,5857",gamble,1,,",599,23,73,150,267,124,49,125",,,146,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2651,,34,,,,,,1482367,1211.319203,776,,,,,,214,12,,",jkey,fkey,jkey,space,fkey,jkey,jkey,fkey,jkey,jkey,fkey",",653,1300,1999,2692,3002,3599,3961,4621,5242,5527,6224",gamble,4,,",576,35,60,339,383,8,292,59",,,147,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2652,,,,,,,,,,,,,,,,,,postquestionnaire,,,,,begin,,,,,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2653,1,,,,,,,,,,,,,,,,,postquestionnaire,,,,,submit,,,,,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2655,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2656,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2657,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2658,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2659,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2660,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2661,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1,
2662,,,Begin,,,,,,,,,,,,,,,INSTRUCTIONS,,,,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2663,,,NextPage,,,,,,,,,,0,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-1.html,,,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,9412
2664,,,NextPage,,,,,,,,,,1,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-2.html,,,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,46590
2665,,,NextPage,,,,,,,,,,2,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-3.html,,,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,59607
2666,,,FinishInstructions,,,,,,,,,,3,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-ready.html,,,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,136268
2667,,38,,,,,,,3813.513242,833,,,,,,838,36,,",jkey,fkey,jkey,jkey,fkey,space,jkey,fkey,jkey,fkey",",975,2004,3167,3940,4478,5620,7492,8539,9525,10788",gamble,8,,",791,429,494,670,2414,452,335,637",,,1,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2668,,32,,,,,,,704.5123042,1099,,,,,,764,12,,",fkey,jkey,space,fkey,jkey,fkey,jkey,fkey,space,jkey",",961,2130,2809,3611,4672,6056,7103,8193,9167,9470",gamble,2,,",804,531,814,483,703,439,483,608",,,2,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2669,,31,,,,,,,3741.260916,686,,,,,,493,48,,",fkey,jkey,fkey,jkey,fkey,space,jkey,fkey,jkey",",1176,2144,3179,4137,5431,5656,6753,8143,9256",gamble,1,,",979,330,406,367,646,702,777,495",,,3,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2670,,24,,,,,,,576.6393155,778,,,,,,582,0,,",jkey,fkey,space,jkey,space,fkey,jkey,fkey,jkey,fkey",",791,1833,2208,3119,4105,4552,5617,6920,7927,8976",gamble,4,,",632,414,639,762,501,639,373,407",,,4,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2671,,28,,,,,,,3120.15524,1032,,,,,,685,36,,",jkey,fkey,jkey,fkey,space,jkey,fkey,jkey,fkey",",913,1995,2962,4687,5144,6152,7431,8496,9611",gamble,8,,",736,456,316,1103,841,650,452,474",,,5,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2672,,28,,,,,,,2835.893468,811,,,,,,965,24,,",fkey,jkey,fkey,jkey,space,fkey,jkey,fkey,jkey",",776,1912,3000,4039,4449,5585,6737,8011,9160",gamble,8,,",577,532,456,390,941,529,601,564",,,6,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2673,,31,,,,,,,4223.720826,572,,,,,,768,48,,",jkey,fkey,jkey,fkey,jkey,space,fkey,jkey,fkey",",1068,2069,3253,4332,5548,5926,6991,8032,9116",gamble,1,,",894,369,516,500,515,879,414,434",,,7,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2674,,24,,,,,,,3392.353612,756,,,,,,0,36,,",fkey,jkey,fkey,space,fkey,jkey,fkey,jkey",",806,1853,2902,5014,6014,7087,8397,9548",gambleFail,4,,",600,452,412,565,1281,461,666,481",,,8,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2675,,2,,,,,,,1179.59363,1185,,,,,,979,12,,",jkey,fkey,space,jkey,fkey,jkey,fkey,jkey,fkey",",838,2080,3253,3861,5070,6110,7320,8317,9621",gamble,2,,",655,600,1188,520,475,553,377,655",,,9,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2676,,39,,,,,,,1363.008836,601,,,,,,1010,12,,",fkey,jkey,space,fkey,jkey,fkey,jkey,fkey,jkey",",837,1959,2846,3622,4825,5966,7038,8095,9342",gamble,9,,",640,509,1002,569,516,429,455,512",,,10,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2677,,25,,,,,,,3268.330839,721,,,,,,823,24,,",jkey,fkey,space,jkey,fkey,jkey,fkey,jkey,fkey",",814,2118,4812,6271,7021,8173,9316,10672,11628",gamble,5,,",598,698,1090,2534,458,544,550,551",,,11,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2678,,1,,,,,,,3420.895456,708,,,,,,893,36,,",jkey,fkey,jkey,space,jkey,fkey,jkey,fkey",",879,1927,2997,5011,5983,7213,8406,9711",gamble,1,,",681,459,400,565,1161,616,583,621",,,12,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2679,,31,,,,,,,3286.425557,640,,,,,,1197,36,,",jkey,fkey,jkey,fkey,space,fkey,jkey,fkey,jkey",",879,1718,2671,3841,5663,6488,7552,8761,10033",gamble,1,,",1520,340,498,425,971,470,564,646",,,13,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2680,,35,,,,,,,2955.647322,642,,,,,,1155,36,,",jkey,fkey,jkey,fkey,jkey,space,fkey,jkey,fkey,jkey",",950,2599,3574,4766,5840,6256,7113,8343,9694,10806",gamble,5,,",2415,344,550,428,655,633,731,451",,,14,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2681,,34,,,,,,,2702.826355,1185,,,,,,969,24,,",fkey,jkey,fkey,space,jkey,fkey,jkey,fkey,jkey",",838,1879,3334,4782,5261,6382,7397,8454,9638",gamble,4,,",654,396,856,1277,512,388,421,534",,,15,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2682,,34,,,,,,,2902.815719,801,,,,,,915,24,,",fkey,jkey,fkey,jkey,space,jkey,fkey,jkey,fkey,jkey",",882,2008,3286,4214,4607,5505,6087,7223,8382,9532",gamble,4,,",664,496,661,342,1199,550,533,525",,,16,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2683,,25,,,,,,,671.2427028,673,,,,,,1083,12,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey,fkey",",1135,1755,4063,6014,7007,8119,9247,10342,11671",gamble,5,,",1537,1702,1326,407,431,519,446,751",,,17,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2684,,1,,,,,,,4066.125788,631,,,,,,990,36,,",fkey,fkey,jkey,fkey,jkey,jkey,fkey,space,fkey,jkey,fkey,fkey,jkey,fkey",",714,1544,2241,3267,4440,5359,5753,7006,7840,8236,9465,10873,11233,12623",gamble,1,,",2040,415,551,653,1850,630,1117,787",,,18,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2685,,4,,,,,,,899.6242641,805,,,,,,987,12,,",jkey,fkey,space,fkey,jkey,jkey,fkey,jkey,fkey,jkey,fkey",",896,1863,2582,3333,3741,4831,5647,6641,7837,8982,10357",gamble,4,,",656,396,1175,1357,375,558,517,760",,,19,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2686,,32,,,,,,,2364.029384,837,,,,,,807,12,,",jkey,space,fkey,jkey,jkey,fkey,jkey,fkey,jkey,fkey",",1021,2268,5148,6311,7468,7796,8884,10127,11156,12227",gamble,2,,",795,3528,550,842,453,615,433,419",,,20,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2687,,4,,,,,,,3340.199472,713,,,,,,0,36,,",jkey,fkey,jkey,fkey,space,fkey,jkey,fkey,jkey,fkey",",902,2105,3199,4326,5001,5631,5943,7142,8230,9230",gambleFail,4,,",664,633,449,519,964,577,452,413",,,21,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2688,,31,,,,,,,600.6726306,710,,,,,,1119,0,,",fkey,space,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",1093,2468,3243,4467,5651,6924,7964,9108,10220",gamble,1,,",917,1444,670,536,646,422,543,462",,,22,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2689,,34,,,,,,,2493.787789,634,,,,,,972,24,,",jkey,fkey,jkey,jkey,space,fkey,jkey,fkey,jkey,fkey",",905,1928,2945,3865,4195,5203,6329,7506,8625,9704",gamble,4,,",720,385,388,1668,463,578,437,488",,,23,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2690,,39,,,,,,,792.0896659,751,,,,,,0,12,,",fkey,jkey,fkey,space,fkey,jkey,fkey,jkey,fkey,jkey,fkey",",961,1376,2632,3016,3976,4726,5936,7016,8217,9383,10360",gambleFail,9,,",1170,660,1480,562,459,527,543,391",,,24,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2691,,21,,,,,,,2334.325309,807,,,,,,940,24,,",fkey,jkey,space,fkey,jkey,fkey,jkey,fkey,jkey",",904,2064,4087,4632,4999,6168,7255,8288,9287",gamble,1,,",720,533,495,1167,594,455,409,350",,,25,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2692,,24,,,,,,,2149.754867,659,,,,,,1158,24,,",fkey,fkey,jkey,fkey,jkey,space,fkey,jkey,fkey,jkey,fkey",",796,2468,3252,4252,5445,6140,6892,8044,9238,10204,11340",gamble,4,,",3045,422,543,819,536,542,359,508",,,26,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2693,,4,,,,,,,1929.818305,642,,,,,,894,24,,",fkey,jkey,fkey,space,jkey,fkey,jkey,fkey,jkey",",726,1772,3006,3564,4384,5415,6508,7686,8804",gamble,4,,",569,378,684,655,445,440,541,501",,,27,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
2694,,24,,,,,,,4085.747995,522,,,,,,844,48,,",jkey,fkey,jkey,fkey,space,fkey,jkey,fkey",",960,1927,2911,3928,5840,6367,7399,8479",gamble,4,,",762,324,369,419,391,788,406,481",,,28,,A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4,
