Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
23,,6252.503463,0,305,success,3,23,232
26,,5003.841618,0,336,success,6,24,232
5,,0,0,306,success,5,25,232
26,,4799.653672,0,333,success,6,26,232
5,,6258.880177,0,208,success,5,27,232
34,,5722.814465,0,336,success,4,28,232
2,,4098.483978,0,399,success,2,29,232
35,,6053.259703,0,327,success,5,30,232
2,,5696.929961,0,225,success,2,31,232
32,,3154.796258,0,303,success,2,32,232
22,,5669.1719,0,185,success,2,33,232
3,,6185.835065,0,112,success,3,34,232
36,,5954.752997,0,231,success,6,35,232
2,,1134.561607,0,308,success,2,36,232
22,,2955.284971,0,314,success,2,37,232
26,,3087.609195,0,305,success,6,38,232
33,,5337.709548,0,341,success,3,39,232
24,,6033.917875,0,461,success,4,40,232
33,,4697.508623,0,326,success,3,41,232
32,,5440.719139,0,252,success,2,42,232
24,,1102.252285,0,343,success,4,43,232
4,,5725.760638,0,327,success,4,44,232
6,,5720.121121,0,348,success,6,45,232
34,,2973.890746,0,276,success,4,46,232
6,,1194.22798,0,336,success,6,47,232
6,,5987.872981,0,261,success,6,48,232
36,,3105.499853,0,169,success,6,49,232
25,,6262.053673,0,278,success,5,50,232
5,,2894.143794,0,251,success,5,51,232
35,,2998.166694,0,248,success,5,52,232
31,,6292.971072,0,229,success,1,53,232
4,,985.0881924,0,177,success,4,54,232
4,,6033.506173,0,227,success,4,55,232
24,,5736.917336,0,72,success,4,56,232
23,,5910.262446,0,272,success,3,57,232
23,,3133.245191,0,289,success,3,58,232
3,,2892.142196,0,239,success,3,59,232
36,,5892.564825,0,280,success,6,60,232
3,,0,0,166,success,3,61,232
35,,6332.877555,0,93,success,5,62,232
2,,5889.723962,0,216,success,2,63,232
35,,1019.040201,0,312,success,5,64,232
33,,2826.615655,0,323,success,3,65,232
21,,3027.263791,0,388,success,1,66,232
1,,6011.058369,0,319,success,1,67,232
31,,4771.873962,0,305,success,1,68,232
26,,6205.362823,0,278,success,6,69,232
25,,5140.13753,0,125,success,5,70,232
36,,6283.043017,0,320,success,6,71,232
2,,0,0,90,success,2,72,232
4,,0,0,349,success,4,73,232
86,,2123.906607,0,308,success,6,74,232
33,,5141.037122,0,379,success,3,75,232
31,,4780.736473,0,403,success,1,76,232
5,,1058.694791,0,302,success,5,77,232
5,,5990.694708,0,319,success,5,78,232
1,,2845.127774,0,256,success,1,79,232
3,,5983.189446,0,405,success,3,80,232
32,,5012.220735,0,356,success,2,81,232
4,,0,0,335,success,4,82,232
25,,1182.25595,0,327,success,5,83,232
2,,0,0,309,success,2,84,232
25,,4809.390563,0,346,success,5,85,232
2,,6223.825741,0,333,success,2,86,232
26,,971.6937574,0,268,success,6,87,232
34,,6256.272672,0,255,success,4,88,232
3,,5745.28971,0,344,success,3,89,232
4,,2895.978392,0,148,success,4,90,232
6,,3026.937746,0,316,success,6,91,232
3,,0,0,0,fail,3,92,232
22,,975.4015198,0,316,success,2,93,232
6,,6205.034089,0,282,success,6,94,232
75,,1877.660738,0,634,success,5,95,232
23,,1035.703634,0,351,success,3,96,232
1,,5689.84422,0,348,success,1,97,232
23,,5763.510547,0,458,success,3,98,232
21,,5948.503213,0,360,success,1,99,232
22,,5988.030786,0,321,success,2,100,232
4,,6232.835847,0,370,success,4,101,232
34,,927.5275986,0,328,success,4,102,232
21,,5903.496035,0,344,success,1,103,232
25,,2938.338234,0,321,success,5,104,232
1,1784044,1075.373108,0,233,success,1,105,232
25,,4684.127515,574,0,gamble,5,1,233
24,,5728.411631,0,447,success,4,2,233
32,,4993.966188,0,421,success,2,3,233
33,,4982.169771,590,0,gamble,3,4,233
6,,999.2980426,693,0,gamble,6,5,233
25,,996.7926654,0,384,success,5,6,233
2,,0,0,469,success,2,7,233
33,,5225.937955,530,0,gamble,3,8,233
26,,4934.176791,505,0,gamble,6,9,233
23,,6203.455081,0,385,success,3,10,233
3,,3076.830616,0,374,success,3,11,233
24,,6129.135217,0,393,success,4,12,233
24,,2957.288888,680,0,gamble,4,13,233
22,,6340.758994,0,348,success,2,14,233
4,,0,0,459,success,4,15,233
3,,0,0,387,success,3,16,233
26,,2988.867414,657,0,gamble,6,17,233
4,,993.9579203,698,0,gamble,4,18,233
1,,0,0,407,success,1,19,233
1,,5755.932262,0,306,success,1,20,233
1,,0,0,380,success,1,21,233
4,,2954.383624,613,0,gamble,4,22,233
21,,6233.181323,0,396,success,1,23,233
1,,6321.204468,0,333,success,1,24,233
5,,5809.102955,840,0,gamble,5,25,233
35,,2994.713085,0,0,earlyFail,5,26,233
6,,6319.303412,0,377,success,6,27,233
3,,5679.709287,0,282,success,3,28,233
36,,799.5638482,0,354,success,6,29,233
86,,1960.803324,0,415,success,6,30,233
21,,5759.70602,0,271,success,1,31,233
34,,985.6024192,0,371,success,4,32,233
6,,0,0,309,success,6,33,233
4,,6264.031185,0,380,success,4,34,233
5,,0,0,374,success,5,35,233
35,,5905.142458,0,182,success,5,36,233
31,,912.4002816,575,0,gamble,1,37,233
2,,0,0,263,success,2,38,233
6,,2980.342689,0,332,success,6,39,233
31,,5049.746355,483,0,gamble,1,40,233
2,,4043.236786,465,0,gamble,2,41,233
1,,6065.324982,586,0,gamble,1,42,233
5,,6260.921516,0,342,success,5,43,233
25,,2821.721784,0,403,success,5,44,233
5,,1065.169816,0,0,earlyFail,5,45,233
1,,1103.557399,571,0,gamble,1,46,233
2,,3077.108778,0,300,success,2,47,233
23,,6108.491073,0,360,success,3,48,233
75,,2065.809729,570,0,gamble,5,49,233
32,,5322.491568,0,337,success,2,50,233
3,,1059.539818,0,397,success,3,51,233
35,,922.5925304,0,223,success,5,52,233
4,,6005.090643,0,279,success,4,53,233
34,,3055.723725,0,178,success,4,54,233
31,,4799.14862,0,331,success,1,55,233
26,,971.0622669,0,376,success,6,56,233
22,,847.9092373,0,117,success,2,57,233
23,,5762.441662,0,363,success,3,58,233
36,,6248.025699,0,264,success,6,59,233
24,,914.9260113,0,450,success,4,60,233
35,,5936.792253,0,336,success,5,61,233
21,,2877.434506,0,441,success,1,62,233
5,,3064.694103,0,355,success,5,63,233
23,,3048.176449,0,404,success,3,64,233
36,,5833.154556,0,168,success,6,65,233
26,,6219.054967,0,382,success,6,66,233
23,,1014.808873,0,310,success,3,67,233
3,,6131.197646,0,200,success,3,68,233
5,,5910.101378,0,236,success,5,69,233
21,,6011.412959,0,281,success,1,70,233
1,,2960.908294,0,132,success,1,71,233
3,,5959.360784,0,55,success,3,72,233
26,,4574.586601,0,265,success,6,73,233
2,,1046.204094,0,249,success,2,74,233
36,,3017.608819,0,234,success,6,75,233
4,,5851.061795,0,309,success,4,76,233
