Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
32,,5358.927136,550,0,gamble,2,45,203
36,,5600,601,0,gamble,6,46,203
1,,5600,0,0,earlyFail,1,47,203
5,,2924.929204,0,157,success,5,48,203
36,,5600,667,0,gamble,6,49,203
23,,945.1592586,0,198,success,3,50,203
34,,864.2135279,996,0,gamble,4,51,203
22,,5600,0,98,success,2,52,203
34,,5600,544,0,gamble,4,53,203
6,,5600,0,221,success,6,54,203
31,,5600,682,0,gamble,1,55,203
24,,5600,0,461,success,4,56,203
33,,2932.508473,690,0,gamble,3,57,203
5,,5600,669,0,gamble,5,58,203
36,,2884.648688,0,272,success,6,1,204
21,,5600,0,275,success,1,2,204
32,,5297.105522,550,0,gamble,2,3,204
4,,5600,539,0,gamble,4,4,204
23,,5600,0,296,success,3,5,204
2,,2883.218645,650,0,gamble,2,6,204
33,,954.8969372,643,0,gamble,3,7,204
36,,5600,499,0,gamble,6,8,204
3,,3093.283911,0,288,success,3,9,204
24,,5600,0,341,success,4,10,204
3,,0,0,275,success,3,11,204
4,,5600,415,0,gamble,4,12,204
2,,0,0,298,success,2,13,204
21,,5600,0,316,success,1,14,204
22,,3062.827381,0,287,success,2,15,204
21,,5600,0,329,success,1,16,204
33,,3010.332064,441,0,gamble,3,17,204
5,,3146.263863,419,0,gamble,5,18,204
5,,5600,383,0,gamble,5,19,204
31,,4758.18008,480,0,gamble,1,20,204
34,,3078.137319,629,0,gamble,4,21,204
31,,5600,546,0,gamble,1,22,204
2,,5600,466,0,gamble,2,23,204
32,,4796.79839,589,0,gamble,2,24,204
3,,0,0,257,success,3,25,204
23,,2942.273347,0,290,success,3,26,204
1,,0,0,320,success,1,27,204
6,,5600,537,0,gamble,6,28,204
31,,860.5057255,754,0,gamble,1,29,204
25,,5070.804586,0,242,success,5,30,204
1,,5600,0,296,success,1,31,204
24,,909.9365842,0,295,success,4,32,204
35,,1071.085393,592,0,gamble,5,33,204
34,,5600,465,0,gamble,4,34,204
33,,4802.952883,406,0,gamble,3,35,204
1,,5600,0,300,success,1,36,204
4,,890.3619098,0,341,success,4,37,204
34,,5600,580,0,gamble,4,38,204
2,,5600,650,0,gamble,2,39,204
32,,5031.778867,489,0,gamble,2,40,204
3,,5600,487,0,gamble,3,41,204
23,,5600,0,277,success,3,42,204
35,,2981.913647,474,0,gamble,5,43,204
25,,3012.159897,0,343,success,5,44,204
23,,936.1788053,0,249,success,3,45,204
34,,5600,431,0,gamble,4,46,204
33,,5287.341965,531,0,gamble,3,47,204
22,,5600,0,309,success,2,48,204
4,,0,0,302,success,4,49,204
5,,5600,473,0,gamble,5,50,204
33,,5120.572107,0,0,earlyFail,3,51,204
6,,5600,0,0,earlyFail,6,52,204
4,,0,0,407,success,4,53,204
4,,2948.687047,0,0,fail,4,54,204
36,,5600,443,0,gamble,6,55,204
21,,2866.665771,0,317,success,1,56,204
24,,2939.461767,0,294,success,4,57,204
6,,1081.141333,0,313,success,6,58,204
5,,5600,977,0,gamble,5,59,204
1,,990.0830178,868,0,gamble,1,60,204
1,,2907.480351,0,323,success,1,61,204
6,,2976.59293,521,0,gamble,6,62,204
26,,4951.761762,453,0,gamble,6,63,204
35,,5600,474,0,gamble,5,64,204
22,,5600,0,320,success,2,65,204
1,,0,0,383,success,1,66,204
26,,5600,0,320,success,6,67,204
6,,0,0,462,success,6,68,204
3,,950.0314388,0,0,fail,3,69,204
36,,938.0728438,0,0,fail,6,70,204
1,,1156.912343,0,512,success,1,1,205
25,,4836.806639,0,496,success,5,2,205
6,,5600,0,546,success,6,3,205
3,,5600,0,500,success,3,4,205
75,,1979.31814,0,618,success,5,5,205
35,,5600,0,0,earlyFail,5,6,205
2,,0,0,606,success,2,7,205
3,,5600,0,592,success,3,8,205
6,,0,0,486,success,6,9,205
2,,5600,0,343,success,2,10,205
33,,1047.319807,0,529,success,3,11,205
4,,0,0,613,success,4,12,205
31,,4973.867188,0,502,success,1,13,205
32,,5299.038598,0,557,success,2,14,205
36,,2920.946037,0,454,success,6,15,205
4,,5600,0,525,success,4,16,205
4,,1088.415876,0,534,success,4,17,205
22,,5600,0,483,success,2,18,205
5,,5600,0,485,success,5,19,205
26,,3118.381268,0,548,success,6,20,205
22,,5600,0,442,success,2,21,205
35,,2946.879339,887,0,gamble,5,22,205
1,,0,0,536,success,1,23,205
36,,5600,0,607,success,6,24,205
35,,5600,0,634,success,5,25,205
36,,1020.643479,0,530,success,6,26,205
36,,5600,0,545,success,6,27,205
36,,5600,0,568,success,6,28,205
21,,989.9869643,0,582,success,1,29,205
6,,1086.580387,0,532,success,6,30,205
1,,2901.77506,0,594,success,1,31,205
5,,0,0,0,fail,5,32,205
25,,1067.516549,0,363,success,5,33,205
3,,2905.194588,815,0,gamble,3,34,205
23,,936.0890909,0,448,success,3,35,205
33,,4641.154841,0,544,success,3,36,205
86,,1867.371429,0,448,success,6,37,205
35,,5600,0,265,success,5,38,205
34,,5600,0,525,success,4,39,205
31,,4712.443116,562,0,gamble,1,40,205
2,,5600,0,491,success,2,41,205
22,,1108.065316,0,517,success,2,42,205
6,,5600,0,395,success,6,43,205
32,,4534.883959,0,458,success,2,44,205
2,,2865.515038,0,462,success,2,45,205
22,,3092.444813,0,401,success,2,46,205
35,,985.9209843,0,437,success,5,47,205
23,,5600,0,435,success,3,48,205
1,,5600,0,429,success,1,49,205
33,,2928.995745,990,0,gamble,3,50,205
25,,2985.953997,0,396,success,5,51,205
34,,5600,0,516,success,4,52,205
1,,0,0,470,success,1,53,205
1,,5600,0,448,success,1,54,205
23,,5600,0,482,success,3,55,205
5,,2910.54303,0,438,success,5,56,205
2,,3825.325865,0,522,success,2,57,205
2,,5600,0,0,earlyFail,2,58,205
31,,5600,475,0,gamble,1,59,205
24,,5600,0,531,success,4,60,205
5,,5600,0,453,success,5,61,205
2,,0,0,503,success,2,62,205
26,,5600,0,452,success,6,63,205
24,,1032.593475,0,525,success,4,64,205
3,,1030.499621,0,635,success,3,65,205
34,,936.6421686,0,549,success,4,66,205
1,,5600,0,459,success,1,67,205
3,,5600,0,505,success,3,68,205
4,,5600,0,425,success,4,69,205
4,,2825.572245,0,436,success,4,70,205
21,,3090.284894,0,485,success,1,71,205
5,,0,0,501,success,5,72,205
26,,4865.582472,0,467,success,6,73,205
26,,5027.585301,0,455,success,6,74,205
5,,5600,0,508,success,5,75,205
23,,3028.526413,0,554,success,3,76,205
24,,5600,0,504,success,4,77,205
2,,1085.916664,0,459,success,2,78,205
32,,2986.506416,0,442,success,2,79,205
25,,4956.880603,0,560,success,5,80,205
24,,3116.963475,0,628,success,4,81,205
21,,5600,0,421,success,1,82,205
24,,5600,0,400,success,4,83,205
21,,5600,0,453,success,1,84,205
4,,5600,0,476,success,4,85,205
23,,5600,0,548,success,3,86,205
6,,0,0,414,success,6,87,205
6,,5600,0,401,success,6,88,205
4,,0,0,501,success,4,89,205
3,,0,0,443,success,3,90,205
26,,1004.595839,0,363,success,6,91,205
33,,5177.311868,0,0,earlyFail,3,92,205
31,,898.9273323,677,0,gamble,1,93,205
31,,3082.715622,0,337,success,1,94,205
6,,2863.227591,0,414,success,6,95,205
34,,2983.576913,0,517,success,4,96,205
25,,5600,0,431,success,5,97,205
