,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,lateResponse,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,understand,uniqueid,viewTime
65,,35,,,,,,3925.701351,0,,741,,,0,,184,,success,5,,,,4,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
66,,32,,,,,,4004.382912,0,,587,,,0,,187,,success,2,,,,5,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
67,,1,,,,,,0,0,,0,,,0,,176,,success,1,,,,6,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
68,,2,,,,,,1956.262576,0,,627,,,0,,155,,success,2,,,,7,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
69,,25,,,,,,5921.737912,0,,850,,,0,,209,,success,5,,,,8,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
70,,31,,,,,,4102.387575,0,,594,,,0,,225,,success,1,,,,9,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
71,,1,,,,,,0,0,,0,,,0,,164,,success,1,,,,10,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
72,,21,,,,,,6022.138243,0,,654,,,0,,239,,success,1,,,,11,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
73,,35,,,,,,2111.447346,578,,0,,,0,,0,,gamble,5,,,,12,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
74,,31,,,,,,2016.112104,0,,507,,,0,,211,,success,1,,,,13,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
75,,5,,,,,,0,0,,0,,,0,,0,,earlyFail,5,,,,14,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
76,,36,,,,,,2001.831566,655,,0,,,0,,0,,gamble,6,,,,15,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
77,,6,,,,,,0,0,,0,,,0,,203,,success,6,,,,16,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
78,,23,,,,,,1955.956804,0,,1225,,,0,,167,,success,3,,,,17,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
79,,4,,,,,,0,0,,0,,,0,,194,,success,4,,,,18,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
80,,36,,,,,,6007.7251,616,,0,,,0,,0,,gamble,6,,,,19,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
81,,24,,,,,,5915.097225,0,,679,,,0,,236,,success,4,,,,20,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
82,,2,,,,,,6084.412251,0,,556,,,0,,272,,success,2,,,,21,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
83,,2,,,,,,0,0,,0,,,0,,236,,success,2,,,,22,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
84,,33,,,,,,3965.358988,0,,580,,,0,,283,,success,3,,,,23,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
85,,22,,,,,,4002.159782,0,,1018,,,0,,326,,success,2,,,,24,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
86,,75,,,,,,6030.66224,604,,0,,,0,,0,,gamble,5,,,,25,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
87,,33,,,,,,3865.658,0,,682,,,0,,242,,success,3,,,,26,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
88,,34,,,,,,5950.95449,648,,0,,,0,,0,,gamble,4,,,,27,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
89,,24,,,,,,4071.417059,0,,532,,,0,,219,,success,4,,,,28,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
90,,26,,,,,,2033.782205,0,,770,,,0,,223,,success,6,,,,29,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
91,,24,,,,,,6112.598884,0,,578,,,0,,244,,success,4,,,,30,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
92,,4,,,,,,2036.871117,0,,1098,,,0,,335,,success,4,,,,31,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
93,,32,,,,,,5916.138799,0,,520,,,0,,233,,success,2,,,,32,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
94,,2,,,,,,4107.862246,0,,577,,,0,,231,,success,2,,,,33,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
95,,31,,,,,,3998.893155,0,,1091,,,0,,367,,success,1,,,,34,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
96,,25,,,,,,3896.298119,0,,931,,,0,,458,,success,5,,,,35,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
97,,36,,,,,,3956.280629,589,,0,,,0,,0,,gamble,6,,,,36,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
98,,25,,,,,,5804.978393,0,,670,,,0,,327,,success,5,,,,37,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
99,,6,,,,,,6039.155478,587,,0,,,0,,0,,gamble,6,,,,38,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
100,,3,,,,,,0,0,,0,,,0,,248,,success,3,,,,39,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
101,,36,,,,,,1971.283205,886,,0,,,0,,0,,gamble,6,,,,40,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
102,,34,,,,,,5992.427318,724,,0,,,0,,0,,gamble,4,,,,41,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
103,,36,,,,,,6106.822932,577,,0,,,0,,0,,gamble,6,,,,42,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
104,,1,,,,,,6024.338433,0,,656,,,0,,270,,success,1,,,,43,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
